dispute_id,dispute_created_at,dispute_reason,dispute_reason_code,disputed_usd_amount,dispute_lifecycle_stage,dispute_status,card_scheme,card_type,network_infrastructure,transaction_created_at,transaction_usd_amount,was_3ds_successfully_authenticated,refund_created_at,refund_usd_amount,merchant_name,purchased_product,prior_undisputed_transactions_with_same_payment_method_credentials___timeframe_over_120_days_ago_until_365_days_ago,prior_undisputed_transactions_with_same_device___timeframe_over_120_days_ago_until_365_days_ago,prior_undisputed_transactions_with_same_ip_address___timeframe_over_120_days_ago_until_365_days_ago,prior_undisputed_transactions_with_same_email___timeframe_over_120_days_ago_until_365_days_ago,prior_undisputed_transactions_with_same_phone_number___timeframe_over_120_days_ago_until_365_days_ago,previous_successful_downloads___timeframe_over_120_days_ago_until_365_days_ago,evidence_type,agent_version,chargeflow_response_evidence_title_array_blocks,data row index
02ced439-a2eb-4cf3-a33b-bc0e064fe531,2029-01-01 00:00:00,fraud,10.4,250,"chargeback, first dispute",won,visa,credit,visaNet,2028-08-27 00:00:00,250,FALSE,2028-09-07 00:00:00,250,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,1,1,1,1,0,1,fraud_ai_agent,o.28.07.01.v1,"[‘dispute summary’, ‘verified email’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘full refund’, ‘communications with the cardholder’, ‘social media evidence’, ‘invalid disputed amount’, ‘about the company’, ‘matched avs checks’, ‘previous non-disputed transactions’, ‘matched cvv check’, ‘cardholder agreed to our terms and conditions’, ‘geolocation evidence’, ‘past protection period’, ‘proof of provision’, ‘dispute details’]",1
314e5cf1-8c0d-4373-8d9e-499b2b4d0d95,2029-01-01 00:00:00,fraud,10.4,25,"chargeback, first dispute",won,visa,credit,visaNet,2028-08-28 00:00:00,1000,FALSE,2028-09-21 00:00:00,900,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,5,4,4,5,0,5,fraud_ai_agent,o.28.07.01.v1,"[‘social media evidence’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘proof of provision’, ‘verified email’, ‘past protection period’, ‘previous non-disputed transactions’, ‘partial refund’, ‘dispute summary’, ‘about the company’, ‘geolocation evidence’, ‘dispute details’, ‘cardholder agreed to our terms and conditions’, ‘CE3’]",2
2ae742c0-4ee7-4fbb-a42f-fd1eaf5b1480,2029-01-02 00:00:00,fraud,10.4,500,"chargeback, first dispute",won,visa,credit,visaNet,2028-08-28 00:00:00,500,FALSE,2028-09-08 00:00:00,500,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,2,2,2,2,0,2,fraud_ai_agent,o.28.07.01.v1,"[‘verified phone number’, ‘verified email’, ‘invalid disputed amount’, ‘communications with the cardholder’, ‘dispute details’, ‘previous non-disputed transactions’, ‘proof of provision’, ‘geolocation evidence’, ‘social media evidence’, ‘past protection period’, ‘CE3’, ‘matched avs checks’, ‘about the company’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘matched cvv check’, ‘cardholder agreed to our terms and conditions’, ‘dispute summary’, ‘full refund’]",3
ca48bfec-ce56-4f0f-8508-7fd8430a71e6,2029-01-02 00:00:00,fraud,10.4,1500,"chargeback, first dispute",won,visa,credit,visaNet,2028-09-09 00:00:00,1500,FALSE,2028-09-10 00:00:00,1500,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,9,8,8,9,0,9,fraud_ai_agent,o.28.07.01.v1,"[‘dispute summary’, ‘verified email’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘full refund’, ‘communications with the cardholder’, ‘invalid disputed amount’, ‘about the company’, ‘matched avs checks’, ‘previous non-disputed transactions’, ‘matched cvv check’, ‘cardholder agreed to our terms and conditions’, ‘CE3’, ‘proof of provision’, ‘dispute details’]",4
7a9970a8-80b4-4b89-8392-5148f6943517,2029-01-02 00:00:00,fraud,10.4,15,"chargeback, first dispute",won,visa,credit,visaNet,2028-08-28 00:00:00,100,FALSE,2028-09-08 00:00:00,85,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,10,9,9,10,0,10,fraud_ai_agent,o.28.07.01.v1,"[‘dispute summary’, ‘dispute details’, ‘communications with the cardholder’, ‘geolocation evidence’, ‘partial refund’, ‘proof of provision’, ‘previous non-disputed transactions’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘about the company’, ‘social media evidence’, ‘past protection period’, ‘verified email’, ‘matched cvv check’, ‘CE3’, ‘cardholder agreed to our terms and conditions’, ‘matched avs checks’]",5
ead05b66-d103-459b-8650-af390c29c639,2029-01-05 00:00:00,fraud,10.4,1500,"chargeback, first dispute",won,visa,credit,visaNet,2028-08-31 00:00:00,1500,FALSE,2028-09-11 00:00:00,1500,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,6,5,5,6,0,6,fraud_ai_agent,o.28.07.01.v1,"[‘full refund’, ‘matched avs checks’, ‘invalid disputed amount’, ‘dispute details’, ‘previous non-disputed transactions’, ‘geolocation evidence’, ‘CE3’, ‘matched cvv check’, ‘communications with the cardholder’, ‘about the company’, ‘cardholder agreed to our terms and conditions’, ‘dispute summary’, ‘verified email’, ‘proof of provision’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘past protection period’]",6
06768f0e-7ee0-4556-a8b5-b65141a698a7,2029-01-06 00:00:00,fraud,10.4,500,"chargeback, first dispute",won,visa,credit,visaNet,2028-12-12 00:00:00,500,FALSE,,,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,3,2,2,3,0,3,fraud_ai_agent,o.28.07.01.v1,"[‘verified phone number’, ‘verified email’, ‘CE3’, ‘about the company’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘cardholder agreed to our terms and conditions’, ‘proof of provision’, ‘geolocation evidence’, ‘social media evidence’, ‘dispute summary’, ‘matched cvv check’, ‘communications with the cardholder’, ‘previous non-disputed transactions’, ‘matched avs checks’, ‘dispute details’]",7
99a8d3a1-b3c7-4807-8517-0e160f8cd819,2029-01-07 00:00:00,fraud,10.4,1000,"chargeback, first dispute",lost,visa,credit,visaNet,2028-12-30 00:00:00,1000,FALSE,,,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,2,0,0,0,0,0,fraud_ai_agent,o.28.07.01.v1,"[‘communications with the cardholder’, ‘previous non-disputed transactions’, ‘social media evidence’,, ‘dispute details’, ‘cardholder agreed to our terms and conditions’, ‘matched avs checks’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘about the company’, ‘proof of provision’, ‘dispute summary’]",8
b381b24a-4ec1-4db1-9943-c1b679cdb0bf,2029-01-07 00:00:00,fraud,10.4,950,"chargeback, first dispute",won,visa,credit,visaNet,2028-09-28 00:00:00,750,FALSE,,,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,1,1,1,1,0,1,fraud_ai_agent,o.28.07.01.v1,"[‘verified phone number’, ‘dispute summary’, ‘about the company’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘matched cvv check’, ‘social media evidence’, ‘communications with the cardholder’, ‘invalid disputed amount’, ‘proof of provision’, ‘previous non-disputed transactions’, ‘geolocation evidence’, ‘dispute details’, ‘cardholder agreed to our terms and conditions’, ‘verified email’]",9
d2d95ea8-afef-449e-964b-80a9b2181895,2029-01-07 00:00:00,fraud,10.4,990,"chargeback, first dispute",won,visa,credit,visaNet,2028-09-22 00:00:00,1000,FALSE,2028-09-13 00:00:00,10,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,5,4,4,5,0,5,fraud_ai_agent,o.28.07.01.v1,"[‘cardholder agreed to our terms and conditions’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘dispute summary’, ‘verified email’, ‘about the company’, ‘matched cvv check’, ‘CE3’, ‘geolocation evidence’, ‘proof of provision’, ‘matched avs checks’, ‘previous non-disputed transactions’, ‘dispute details’, ‘partial refund’]",10
8c33639b-b5de-419e-8710-5c3966b43143,2029-01-08 00:00:00,fraud,10.4,1500,"chargeback, first dispute",won,visa,credit,visaNet,2028-12-21 00:00:00,1500,FALSE,,,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,6,5,5,6,0,6,fraud_ai_agent,o.28.07.01.v1,"[‘dispute details’, ‘communications with the cardholder’, ‘matched cvv check’, ‘previous non-disputed transactions’, ‘proof of provision’, ‘verified email’, ‘matched avs checks’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘about the company’, ‘cardholder agreed to our terms and conditions’, ‘dispute summary’, ‘CE3’, ‘social media evidence’, ‘geolocation evidence’]",11
f1c0da3b-f6e0-4f01-9caf-3beda1b3903e,2029-01-09 00:00:00,fraud,10.4,900,"chargeback, first dispute",won,visa,credit,visaNet,2028-09-12 00:00:00,1000,FALSE,2028-09-24 00:00:00,100,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,5,4,4,5,0,5,fraud_ai_agent,o.28.07.01.v1,"[‘verified phone number’, ‘matched cvv check’, ‘dispute details’, ‘geolocation evidence’, ‘CE3’, ‘communications with the cardholder’, ‘matched avs checks’, ‘partial refund’, ‘dispute summary’, ‘about the company’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘verified email’, ‘previous non-disputed transactions’, ‘proof of provision’, ‘social media evidence’, ‘cardholder agreed to our terms and conditions’]",12
310e9ad7-d2aa-471c-a76b-83c880815798,2029-01-09 00:00:00,fraud,10.4,500,"chargeback, first dispute",lost,visa,credit,visaNet,2028-09-16 00:00:00,500,FALSE,,,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,6,1,0,0,0,1,fraud_ai_agent,o.28.07.01.v1,"[‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘geolocation evidence’, ‘dispute summary’, ‘matched cvv check’, ‘matched avs checks’, ‘cardholder agreed to our terms and conditions’, ‘previous non-disputed transactions’, ‘proof of provision’, ‘about the company’, ‘communications with the cardholder’, ‘dispute details’]",13
197766f7-8efb-47a3-99c8-a05ed1634138,2029-01-10 00:00:00,fraud,10.4,1500,"chargeback, first dispute",won,visa,credit,visaNet,2028-09-05 00:00:00,1500,FALSE,2028-09-16 00:00:00,1500,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,6,0,1,0,0,0,fraud_ai_agent,o.28.07.01.v1,"[‘matched cvv check’, ‘proof of provision’, ‘past protection period’, ‘communications with the cardholder’, ‘geolocation evidence’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘dispute summary’, ‘invalid disputed amount’, ‘dispute details’, ‘social media evidence’, ‘full refund’, ‘cardholder agreed to our terms and conditions’, ‘about the company’, ‘previous non-disputed transactions’]",14
878348cc-be6b-4b85-99fd-1639c0bfcb61,2029-01-11 00:00:00,fraud,10.4,1500,"chargeback, first dispute",won,visa,credit,visaNet,2028-09-06 00:00:00,1500,FALSE,,,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,6,0,0,0,1,1,fraud_ai_agent,o.28.07.01.v1,"[‘proof of provision’, ‘past protection period’, ‘matched cvv check’, ‘communications with the cardholder’, ‘dispute summary’, ‘previous non-disputed transactions’, ‘cardholder agreed to our terms and conditions’, ‘geolocation evidence’, ‘dispute details’, ‘verified phone number’, ‘about the company’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘social media evidence’]",15
bd86ed12-69ec-4425-8af1-0316e447b155,2029-01-12 00:00:00,fraud,10.4,500,"chargeback, first dispute",won,visa,credit,visaNet,2028-09-17 00:00:00,500,FALSE,2028-09-18 00:00:00,500,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,1,0,0,0,0,6,fraud_ai_agent,o.28.07.01.v1,"[‘invalid disputed amount’,, ‘matched cvv check’, ‘communications with the cardholder’, ‘previous non-disputed transactions’, ‘dispute summary’, ‘matched avs checks’, ‘cardholder agreed to our terms and conditions’, ‘proof of provision’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘full refund’, ‘dispute details’, ‘about the company’]",16
082e200c-5cdc-49c1-b259-a42010d69ecf,2029-01-13 00:00:00,fraud,10.4,250,"chargeback, first dispute",lost,visa,credit,visaNet,2028-10-18 00:00:00,250,FALSE,,,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,0,14,13,12,11,10,fraud_ai_agent,o.28.07.01.v1,"[‘social media evidence’, ‘matched avs checks’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘dispute summary’, ‘geolocation evidence’, ‘cardholder agreed to our terms and conditions’, ‘communications with the cardholder’, ‘dispute details’, ‘about the company’, ‘proof of provision’, ‘verified phone number’, ‘verified email’, ‘matched cvv check’]",17
271d936b-5faa-4c3f-8394-c8067aa61ed9,2029-01-14 00:00:00,fraud,10.4,1500,"chargeback, first dispute",won,visa,credit,visaNet,2028-09-09 00:00:00,1500,FALSE,2028-09-25 00:00:00,1500,son_of_liberty_&_seagull_online_commerce_only_LTD,pepe_the_frog_downloadable_emoji_jpg,0,0,2,0,2,0,fraud_ai_agent,o.28.07.01.v1,"[‘about the company’, ‘past protection period’, ‘dispute summary’, ‘proof of provision’, ‘matched cvv check’, ‘dispute details’, ‘cardholder agreed to our terms and conditions’, ‘invalid disputed amount’, ‘matched avs checks’, ‘geolocation evidence’, ‘full refund’, ‘illegitimate chargeback: This was not a fraudulent transaction. The cardholder fully authorized the transaction’, ‘verified phone number’]",18
